Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
1999-11-30T00:00:00Z,0.000000,0.000000,0,99.99,99.99,99.99,1,0,4
1999-11-30T00:00:00Z,0.000000,0.000000,0,99.99,99.99,99.99,1,0,15
2020-05-08T15:40:58Z,0.000000,0.000000,0,99.99,99.99,99.99,1,0,145
2020-07-08T14:19:29Z,38.292763,-104.284462,1431,1.00,1.32,1.66,3,10,90
2020-07-08T14:41:03Z,38.292770,-104.284515,1428,2.04,2.82,3.48,3,6,90
2020-07-08T20:43:33Z,38.295464,-104.633789,1459,0.89,1.48,1.72,3,11,107
2020-07-09T02:45:23Z,38.295448,-104.633850,1474,1.20,1.96,2.29,3,9,97
2020-07-09T08:47:54Z,38.295418,-104.633812,1456,1.04,1.31,1.67,3,10,103
2020-07-09T14:49:58Z,38.277031,-104.342018,1437,0.90,1.26,1.55,3,11,90
2020-07-09T20:51:52Z,38.276993,-104.342018,1436,0.64,1.04,1.23,3,12,90
2020-07-10T02:53:49Z,38.277020,-104.342018,1435,1.02,1.48,1.79,3,8,90
2020-07-10T08:55:44Z,38.277012,-104.342003,1432,0.81,0.87,1.14,3,12,90
2020-07-10T14:57:40Z,38.277016,-104.342033,1434,0.79,0.88,1.18,3,12,90
2020-07-10T20:59:36Z,38.277008,-104.342003,1431,0.94,1.47,1.74,3,9,90
2020-07-11T03:01:34Z,38.277008,-104.342003,1437,0.77,1.09,1.33,3,12,90
2020-07-11T09:03:31Z,38.277039,-104.342018,1430,0.96,1.30,1.62,3,10,90
2020-07-11T15:05:27Z,38.277020,-104.342033,1432,0.75,0.81,1.11,3,12,90
2020-07-11T21:07:23Z,38.277084,-104.342072,1429,0.92,1.21,1.51,3,12,90
2020-07-12T03:09:20Z,38.277031,-104.342010,1435,0.83,0.98,1.29,3,12,91
2020-07-12T09:11:16Z,38.277016,-104.342033,1430,1.22,1.04,1.61,3,10,90
2020-07-12T15:13:12Z,38.277008,-104.342018,1435,0.66,0.71,0.97,3,12,90
2020-07-12T21:15:07Z,38.277023,-104.342018,1430,0.69,1.17,1.36,3,12,90
2020-07-12T22:39:57Z,38.277016,-104.342041,1434,0.95,1.22,1.54,3,12,90
2020-07-13T10:43:48Z,38.276993,-104.342026,1439,0.85,1.35,1.60,3,12,90
2020-07-13T16:45:43Z,38.277054,-104.342072,1432,1.03,1.07,1.48,3,11,90
2020-07-13T20:38:25Z,38.277008,-104.342033,1437,0.87,1.33,1.59,3,10,90
2020-07-14T02:40:20Z,38.277012,-104.342018,1436,0.76,1.13,1.39,3,12,90
2020-07-14T08:42:17Z,38.276997,-104.342033,1434,0.68,0.88,1.11,3,12,91
2020-07-14T14:44:15Z,38.277000,-104.341995,1438,1.23,1.39,1.85,3,12,90
2020-07-14T20:46:13Z,38.277008,-104.342033,1440,0.78,1.32,1.53,3,11,90
2020-07-14T23:42:33Z,38.276993,-104.342010,1431,0.88,1.32,1.58,3,10,90
2020-07-14T23:53:13Z,38.277016,-104.342018,1434,0.82,1.15,1.42,3,11,90
2020-07-15T01:51:26Z,38.277042,-104.342041,1434,1.47,1.78,2.31,3,9,90
2020-07-15T07:53:23Z,38.277016,-104.342064,1429,0.87,1.28,1.55,3,12,90
2020-07-15T13:55:20Z,38.277039,-104.342049,1438,0.77,0.94,1.18,3,12,90
2020-07-15T19:57:17Z,38.277027,-104.342033,1438,0.88,1.51,1.75,3,10,90
2020-07-16T01:59:16Z,38.277031,-104.342087,1432,1.01,1.41,1.74,3,10,90
2020-07-16T08:01:13Z,38.277020,-104.342079,1433,0.96,1.48,1.77,3,11,90
2020-07-16T14:03:12Z,38.277008,-104.342026,1434,0.73,0.94,1.19,3,12,90
2020-07-16T20:05:11Z,38.277004,-104.342049,1435,0.89,1.64,1.87,3,10,90
2020-07-17T02:07:08Z,38.277023,-104.342018,1438,0.69,0.94,1.15,3,12,90
2020-07-17T08:09:06Z,38.276997,-104.342018,1432,0.90,1.25,1.54,3,12,90
2020-07-17T14:11:00Z,38.277008,-104.342041,1433,0.92,1.33,1.62,3,11,90
2020-07-17T20:13:00Z,38.277000,-104.342026,1439,0.75,1.04,1.29,3,12,90
2020-07-18T02:14:57Z,38.277008,-104.342041,1436,0.89,1.32,1.59,3,12,90
2020-07-18T08:16:51Z,38.276985,-104.342010,1435,0.83,1.27,1.52,3,12,90
2020-07-18T14:18:49Z,38.276997,-104.342010,1436,1.34,1.50,2.18,3,10,90
2020-07-18T20:20:46Z,38.276966,-104.342003,1442,0.84,1.45,1.68,3,11,91
2020-07-19T02:22:46Z,38.277027,-104.342026,1437,0.88,1.01,1.32,3,12,90
2020-07-19T08:24:42Z,38.277023,-104.342033,1431,1.11,1.66,2.09,3,12,90
2020-07-19T14:26:37Z,38.276993,-104.342010,1433,0.72,0.90,1.15,3,12,91
2020-07-19T20:28:34Z,38.277008,-104.342010,1433,0.84,1.34,1.58,3,12,90
2020-07-20T02:30:32Z,38.277027,-104.342003,1441,0.96,1.32,1.63,3,12,90
2020-07-20T08:32:29Z,38.277035,-104.342041,1429,0.78,0.95,1.23,3,12,90
2020-07-20T14:34:23Z,38.277020,-104.342010,1433,0.77,0.80,1.11,3,12,90
2020-07-20T20:36:20Z,38.277020,-104.342026,1435,0.65,1.02,1.20,3,12,90
2020-07-21T02:38:18Z,38.277031,-104.342010,1436,0.69,1.05,1.26,3,12,90
2020-07-21T08:40:14Z,38.277008,-104.342056,1433,0.85,1.51,1.75,3,12,90
2020-07-21T14:42:10Z,38.277020,-104.342026,1431,0.98,0.85,1.30,3,12,90
2020-07-21T20:44:06Z,38.277012,-104.342033,1435,0.66,1.06,1.25,3,12,91
2020-07-22T02:46:01Z,38.277020,-104.342010,1434,0.80,1.27,1.47,3,12,90
2020-07-22T08:47:58Z,38.277008,-104.342010,1434,0.98,1.69,1.96,3,10,91
2020-07-22T14:49:52Z,38.277039,-104.342056,1432,1.22,1.09,1.64,3,12,90
2020-07-22T20:51:49Z,38.277016,-104.342018,1433,0.86,1.35,1.60,3,11,90
2020-07-23T02:53:48Z,38.277020,-104.341995,1435,0.83,1.42,1.65,3,11,90
2020-07-23T08:55:44Z,38.277023,-104.342010,1443,0.94,1.63,1.88,3,11,90
2020-07-23T14:57:44Z,38.277008,-104.342010,1434,0.80,0.95,1.24,3,12,91
2020-07-23T20:59:42Z,38.277016,-104.342026,1432,0.74,1.11,1.33,3,12,90
2020-07-24T03:01:41Z,38.277027,-104.342018,1434,0.90,1.26,1.55,3,9,90
2020-07-24T09:03:40Z,38.277020,-104.342018,1436,1.38,1.98,2.41,3,9,91
2020-07-24T15:05:35Z,38.277031,-104.342033,1430,1.00,1.42,1.73,3,10,91
2020-07-24T21:07:31Z,38.277027,-104.342033,1436,0.79,1.26,1.48,3,10,90
